,Aspen,longitude,lattitude
15799,1,-107.5109518,40.06416145
8204,1,-105.9174952,39.46263283
21358,1,-105.0588789,37.28069339
7652,1,-105.7619972,38.53863312
11122,1,-105.5176584,37.87294704
8689,1,-106.6077145,39.78939605
7409,1,-107.0115415,39.32352929
17636,1,-107.4969785,40.03134984
11415,1,-106.5270837,37.50277807
13339,1,-105.4986448,36.23458747
4844,1,-107.4165005,38.50452513
17233,1,-108.0798604,37.90895432
9137,1,-106.5423526,37.61666186
9911,1,-105.6789074,39.34998258
19010,1,-105.4577568,39.21207645
14523,1,-105.8865198,39.40847553
5801,1,-108.3779237,37.90875454
5416,1,-105.1969138,39.42020371
7259,1,-107.7045605,37.80908399
8829,1,-107.5462146,39.14744255
34,1,-106.8195992,39.20414853
14105,1,-105.1870606,40.62275816
1759,1,-105.7931915,35.70777681
11738,1,-108.6818241,37.78661274
5647,1,-106.6880316,39.55761124
9986,1,-105.4747758,39.86192764
2956,1,-106.9177411,36.11144973
1399,1,-106.9030417,37.31123841
9017,1,-106.8004169,38.04680487
4479,1,-106.6456042,36.16236032
20909,1,-105.1840062,39.5187634
622,1,-107.479109,40.43508125
3986,1,-106.9039387,38.62264023
17037,1,-106.1971796,39.36412992
1056,1,-107.6751885,37.60402018
7817,1,-105.116084,37.07162509
12370,1,-107.0087284,40.68786219
11309,1,-105.1140054,37.26579697
4377,1,-105.6114815,35.89398255
11270,1,-105.9565544,40.20555232
9381,1,-107.4524296,38.26418147
15943,1,-107.3132203,39.26114655
8509,1,-106.1817682,40.06277222
16215,1,-107.1326064,40.41059587
2488,1,-106.5876002,37.37332203
16168,1,-104.9153202,37.996848
21032,1,-107.2931572,38.95459268
12410,1,-107.0549517,37.12490623
12544,1,-107.0360559,39.55436387
20068,1,-105.6034111,40.67522866
6400,1,-106.7394191,35.88064429
735,1,-106.8344898,38.34269042
4032,1,-106.7078748,37.57638936
9193,1,-107.6390766,39.12065508
12868,1,-107.5631182,39.81464014
3130,1,-105.910127,40.44791171
11209,1,-108.4450118,37.80688515
7993,1,-108.759061,38.66853342
21157,1,-105.6252533,38.07577972
13919,1,-106.9424965,38.85901537
18625,1,-105.3692782,36.69175798
3998,1,-106.4425775,39.15802154
5620,1,-105.6030512,39.78105187
11345,1,-105.6229505,37.96293417
2840,1,-107.3738711,39.10408152
1516,1,-107.1784317,39.33348329
16115,1,-106.0645592,40.59530649
8139,1,-106.5832585,39.51557146
20940,1,-106.9537201,39.22429247
12874,1,-108.0140117,37.36622149
12368,1,-107.1059439,39.85561975
1435,1,-107.7352121,39.85109739
3613,1,-106.0231569,42.50832579
18359,1,-107.4447721,39.90058383
6690,1,-107.5415141,39.43810933
5790,1,-108.2514322,38.38852812
8041,1,-105.4996806,39.46928798
5477,1,-106.2670647,38.98311815
431,1,-107.2374171,38.88029122
17053,1,-107.6408362,37.38005823
8934,1,-107.1893871,37.8575161
4022,1,-107.6907964,38.04282174
20274,1,-104.4540217,37.01412726
5407,1,-107.4229531,37.36409593
5525,1,-107.4517321,38.37011616
4800,1,-105.2060788,39.52409325
8333,1,-108.1617814,38.34911918
3866,1,-105.0582783,37.41323033
3227,1,-108.0768646,39.06560207
14740,1,-105.4566564,35.97114127
6949,1,-106.6132615,38.00316358
3082,1,-107.3085836,38.57921187
15256,1,-105.369362,40.12997992
9715,1,-106.5981579,40.40939457
15667,1,-105.3027458,36.17414274
12574,1,-106.6004867,38.87753086
850,1,-106.737023,38.09662301
19649,1,-104.3836612,37.05183638
4236,1,-106.2104867,36.42340911
13517,1,-107.2624623,37.53890928
15122,1,-107.6420237,38.19994592
1921,1,-107.4484488,37.68970338
10531,1,-106.7435282,39.49167874
7744,1,-108.1305764,38.951859
16976,1,-106.2183157,39.20067592
13698,1,-107.8144644,37.5772278
13095,1,-107.6578407,39.31497585
1840,1,-106.7442411,38.66397219
14923,1,-107.6422675,39.95327127
19279,1,-105.6006443,39.69895775
20422,1,-106.7918216,40.49089899
18974,1,-105.5390402,39.76166348
4450,1,-106.1777946,39.69909862
7781,1,-107.2769533,37.32766667
14856,1,-106.3751742,37.45304078
16068,1,-108.2303742,37.77159436
11659,1,-105.9578833,40.54084835
19872,1,-106.4759765,38.44131464
1833,1,-106.9649496,40.72149706
18466,1,-107.1970503,39.37861274
15800,1,-106.6670043,37.34919752
10211,1,-104.431434,37.12971322
19046,1,-106.2825857,38.78763939
20339,1,-106.4277249,40.51062582
15814,1,-106.554308,36.12669864
6249,1,-107.8550414,37.7953239
20998,1,-106.6812494,35.87965198
13610,1,-106.6480574,38.34446533
12181,1,-107.625877,39.74012321
15511,1,-108.56752,37.64322863
6237,1,-107.9552667,37.37246348
15819,1,-108.7501779,37.85489428
21418,1,-105.745462,35.74687809
19641,1,-105.4720254,37.86256694
10011,1,-106.8455524,39.17565832
2732,1,-105.5931853,37.91083792
12069,1,-107.1954735,37.5598744
196,1,-106.7378531,37.78361157
17027,1,-106.4026134,36.67739942
4494,1,-107.4861497,40.00962673
13627,1,-105.4238139,37.62989413
5073,1,-107.3203087,39.41596138
6619,1,-107.387988,38.58472445
7413,1,-106.428259,39.79254921
10387,1,-105.8870495,40.71353942
12396,1,-107.5836493,40.18516722
3495,1,-106.4806318,38.59333622
14653,1,-108.1713104,38.88475035
12539,1,-105.2941843,41.14255166
10565,1,-107.0835129,40.40700865
13154,1,-107.3781412,38.44265125
20682,1,-104.9549607,37.910207
19365,1,-105.5687059,36.61613014
276,1,-106.6699927,37.1795189
13562,1,-107.7547265,37.33257568
2807,1,-107.1721998,40.86588807
19430,1,-108.5984669,38.51872559
12718,1,-107.5802541,38.23859263
8020,1,-107.0093966,41.2395579
1764,1,-106.257615,40.27614013
16660,1,-107.0798781,39.90108703
