,Aspen,longitude,lattitude
21223,1,-105.4705946,41.38505982
21348,1,-105.6295889,35.81580989
16132,1,-107.2095132,40.31642458
6953,1,-106.4231387,41.50651144
12216,1,-106.8710709,39.46019912
12274,1,-106.5636764,41.50593125
17446,1,-106.8580378,38.89388251
9599,1,-105.2861715,39.89447656
18032,1,-106.6254365,37.83699115
792,1,-105.1967006,38.06954659
17031,1,-106.1498952,39.82758447
20029,1,-107.1980338,41.25741933
11676,1,-106.4239086,36.02688233
19776,1,-106.363777,42.71010388
13314,1,-106.5941765,36.9436019
12114,1,-108.01954,37.40209456
10556,1,-106.3664241,41.08466465
14939,1,-106.6591028,37.00731524
15329,1,-107.0996305,39.58779501
17908,1,-107.3764319,37.21583326
5356,1,-107.0552796,38.1160336
13447,1,-106.545021,36.89731235
10820,1,-108.5910621,37.71949473
19993,1,-107.1533232,38.90880219
10496,1,-107.2545287,39.67858547
20220,1,-108.0510885,39.00566461
13757,1,-105.3524597,36.67019559
1998,1,-105.4073879,42.4225764
1075,1,-106.9749213,38.77006198
17367,1,-105.5678188,36.2159968
12354,1,-107.5470994,38.32134497
9736,1,-106.9649814,38.12221417
4518,1,-107.2889256,40.34063057
16880,1,-107.6424176,39.87800542
13336,1,-106.4405339,40.38834492
3334,1,-105.1962322,41.43000227
12465,1,-107.3470591,39.66058257
21366,1,-106.7538525,37.72651046
6676,1,-107.0163341,37.63548431
8329,1,-106.5390164,37.21680663
15996,1,-106.7897504,40.23409617
362,1,-106.4696127,37.31760814
14957,1,-106.768695,39.22711605
20134,1,-105.7774894,40.61182525
20762,1,-106.4993612,37.22977331
2004,1,-106.1145782,39.81590818
18923,1,-106.1605259,40.42871562
562,1,-107.7879302,37.32092303
3737,1,-106.9742156,40.03453904
7624,1,-106.7159016,38.11899431
7671,1,-104.205178,36.90439343
19724,1,-106.6975764,39.04916718
20423,1,-107.3629242,38.59459331
10717,1,-108.0197999,37.63825714
8872,1,-106.9103827,37.51456522
3048,1,-106.8628109,35.8360327
12357,1,-108.0079836,37.29856656
21204,1,-105.4608507,36.45585517
6646,1,-107.2587011,40.10985703
14920,1,-107.9167583,39.15867509
16213,1,-106.5412284,39.02294552
1823,1,-107.666205,37.2972748
8904,1,-107.11972,37.39493217
14463,1,-108.6177252,38.58069968
6436,1,-106.0711303,38.51306063
2827,1,-108.6824252,37.75536955
2,1,-105.7679939,35.66107004
13810,1,-104.9261442,39.12563897
18247,1,-108.1129741,37.34987073
11577,1,-105.349615,38.89703974
2744,1,-107.2400149,37.14802823
12945,1,-106.7752789,39.16595155
2218,1,-107.7322191,39.00093039
9302,1,-105.1708766,38.20730908
8525,1,-107.1972909,41.32919722
16327,1,-105.6658544,39.77679167
5857,1,-105.589453,40.08681402
624,1,-105.4403745,38.90599449
8117,1,-105.4742831,40.94098522
1879,1,-107.3246815,41.48378689
18358,1,-106.8495553,40.30210639
15576,1,-107.3351641,37.10336368
10630,1,-106.8458637,36.99119231
5722,1,-105.4709704,39.23441372
14292,1,-105.534425,36.54886711
17121,1,-106.1801132,38.4338165
16350,1,-106.2560751,38.80574288
3885,1,-105.6673657,36.06753688
12191,1,-105.5134384,36.62475671
21316,1,-105.7541693,38.54657969
11605,1,-106.0439448,40.56058235
18563,1,-107.0135708,36.96772128
9957,1,-106.2857218,40.31133858
5531,1,-107.5361258,40.20509576
8863,1,-106.8024849,39.79443
20446,1,-106.3659516,36.65789066
7299,1,-106.65396,37.92835375
9924,1,-105.5326032,35.64415889
8868,1,-105.3541602,41.21814173
536,1,-107.1943842,38.95433016
4989,1,-106.0333048,40.19583079
10532,1,-105.0914724,36.32052407
5812,1,-105.548511,36.20237549
2441,1,-106.4856725,40.07275155
6054,1,-104.4941013,37.10512216
12824,1,-107.9889756,37.27413439
17101,1,-107.7888427,39.69402721
20361,1,-107.8024577,39.21381075
13861,1,-105.4279336,38.7666442
14799,1,-105.4242293,37.91168052
4313,1,-105.212911,40.66182742
8998,1,-107.0827608,39.48687329
1356,1,-104.8907998,37.93853861
16357,1,-105.6186144,38.1684987
6526,1,-106.8135622,35.90512539
5921,1,-106.983442,38.1629651
20795,1,-106.6054125,37.57783089
10923,1,-106.5593963,37.84175236
20641,1,-106.296882,39.46746973
15115,1,-108.6942953,38.75077276
16992,1,-107.2444346,39.28007428
6643,1,-107.622642,40.13677458
1878,1,-105.5517345,40.22541816
568,1,-106.2703448,40.96255613
15821,1,-105.5009794,38.05749269
4448,1,-105.4067228,38.88914308
7481,1,-106.0063156,39.74816493
4463,1,-105.7689674,40.48552512
5961,1,-106.5238061,40.35820496
5920,1,-105.4991063,36.05839496
5417,1,-105.1088613,37.38231668
11246,1,-105.8718749,40.8336472
3770,1,-105.3781175,42.34581991
8612,1,-106.0666462,40.09008217
19772,1,-104.3514398,36.94319695
5709,1,-107.1340021,38.91566479
15884,1,-104.5819645,37.04350561
9756,1,-106.5960795,39.55117097
19317,1,-107.3734896,38.98657496
2916,1,-106.3810812,38.24389323
19412,1,-107.3330927,38.05089507
20978,1,-105.3574252,36.19139357
2455,1,-108.1948725,38.439834
3688,1,-106.597215,39.62856598
381,1,-105.1132513,37.56293173
6910,1,-106.8802008,40.26622276
521,1,-106.1667708,39.06708767
8945,1,-104.3638762,37.04097623
9717,1,-106.7320499,40.88276802
20249,1,-105.5488951,36.14715669
8925,1,-105.4646268,39.60053244
6177,1,-104.9514004,37.9838734
20287,1,-107.1283336,40.79735773
19599,1,-105.5759846,36.05887286
15963,1,-106.4247482,41.25747945
13825,1,-106.1776553,36.80977949
11493,1,-108.1339123,37.8528404
4674,1,-107.58247,40.1681916
17791,1,-106.406496,38.63633514
15372,1,-107.3070814,39.83839116
10273,1,-106.228921,40.99551024
15325,1,-107.7208826,39.89286125
10121,1,-106.7326998,38.84417468
5762,1,-106.8099684,40.26223076
462,1,-106.5407794,36.82005927
6694,1,-107.0404805,39.25527407
20677,1,-106.5600898,41.30100425
9933,1,-107.8056106,37.3345745
13090,1,-107.4140026,37.7673315
8123,1,-107.3297371,40.10512441
7704,1,-105.7542117,35.95351543
17975,1,-107.2632532,39.07456237
5154,1,-105.797265,42.74949629
16575,1,-106.7103744,36.94484314
7281,1,-107.9715699,37.51896816
3768,1,-106.1258366,36.65716398
15401,1,-107.5697027,39.19701573
8232,1,-107.823101,39.13954969
9379,1,-105.6118271,39.85033673
5167,1,-107.4233009,40.79297935
13078,1,-107.6040673,38.39459093
4870,1,-106.1272007,38.52361493
20559,1,-107.7790175,37.74918212
7273,1,-106.0420655,41.13570625
5125,1,-106.174475,38.32319582
7077,1,-106.4274716,36.51825864
12176,1,-106.9168433,39.53388233
9281,1,-107.3246401,37.11019447
11565,1,-106.7892823,37.1093959
10107,1,-107.2712844,37.60932023
20389,1,-106.18495,38.39786562
4458,1,-105.6631571,42.63666822
19747,1,-106.7652144,40.12200918
10721,1,-108.0858284,37.57941158
844,1,-106.3977689,38.84172213
13257,1,-107.6414855,37.78366516
6197,1,-106.7547205,37.69285068
13209,1,-106.1794824,40.2848177
4865,1,-107.1643271,37.96196594
4565,1,-106.9355505,37.45244594
4184,1,-106.392571,41.53866183
1146,1,-107.0418617,38.74060474
7107,1,-106.7546532,38.75682672
19027,1,-107.2903213,41.05493831
3519,1,-107.4050503,39.18902376
3657,1,-107.0710003,38.55951143
18525,1,-107.2246199,41.3013719
2269,1,-106.1761053,41.15533523
7523,1,-106.8131714,38.01316748
15043,1,-106.6725116,36.98086133
9863,1,-105.0725866,38.93739652
18371,1,-107.0648716,41.08255985
11840,1,-106.6316238,37.73760153
19875,1,-106.7220384,38.75532161
6002,1,-105.1972103,40.59946787
7075,1,-108.2702957,38.3596875
10575,1,-106.3317384,38.02055877
12986,1,-107.09954,37.20987775
8308,1,-106.4252417,39.49825848
18818,1,-107.3050985,39.58521954
21136,1,-105.7484275,39.27087127
17443,1,-105.4289297,36.29888068
6649,1,-108.1319111,39.07865572
4685,1,-107.1375092,37.19786458
11656,1,-106.6823696,39.82806018
2860,1,-105.6829477,35.75264032
8373,1,-107.3943595,39.61752583
8152,1,-105.1428113,36.59834329
6971,1,-106.5438297,35.74176443
